asset_id,asset_type,zone,redundancy,redundancy_group,install_year,capacity_kW,cop_nominal,power_rated_kW,flow_rated_m3_h,head_rated_m
CHWP_001,CHW_Pump,Mechanical Room,1,CHW_LOOP,2019,,,18.5,150.0,45.0
CHWP_002,CHW_Pump,Mechanical Room,1,CHW_LOOP,2019,,,18.5,150.0,45.0
CHWP_003,CHW_Pump,Mechanical Room,1,CHW_LOOP,2019,,,18.5,150.0,45.0
CT_001,CoolingTower,Roof,0,CT_PRIMARY,2018,300.0,,12.0,,
FCU_001,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_002,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_003,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_004,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_005,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_006,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_007,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_008,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_009,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_010,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_011,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_012,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_013,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_014,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_015,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_016,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_017,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_018,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_019,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_020,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_021,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_022,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_023,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_024,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_025,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_026,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_027,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_028,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_029,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_030,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_031,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_032,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_033,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_034,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_035,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_036,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_037,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_038,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_039,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_040,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_041,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_042,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_043,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_044,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_045,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_046,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_047,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_048,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_049,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
FCU_050,FCU,Office Floors,5,FCU_DISTRIBUTED,2020,,,0.25,500.0,
HWP_001,HW_Pump,Mechanical Room,1,HW_LOOP,2019,,,11.0,80.0,35.0
HWP_002,HW_Pump,Mechanical Room,1,HW_LOOP,2019,,,11.0,80.0,35.0
HP_001,HeatPump,Roof,1,HP_PRIMARY,2018,250.0,3.8,65.8,,
HP_002,HeatPump,Roof,1,HP_PRIMARY,2018,250.0,3.8,65.8,,
